SYMBOL,PDO,PDH,PDL,PDC,Previous Day Close,Traded Quantity,Today Open Price,Today High,Today Low,TC/LATEST,TVOLUME,T % Price,SYMBOL,GapUP/GapDown,OL-OH,PRB,BUY,SELL,Change in Price %,Change in Volume %,Change in OI %,PCR ,Fut OI,Fut Change in OI ,Change in CE,Change in PE,Total,Previous Day Volume,CE,PE ,PCR,Delivery Volume,Delivery %,Nifty 50?
IEX,507,573.7,496.75,560.9,503.3,33652619,507,573.7,496.75,560.9,33652619,11.1,IEX,, ,,BUY,,11.44,44.73,26.86,1.45,4462500,1198750,1260000,1828750,3088750,23252363,4966250,3285000,0.66,"2,983,553",8.87,Yes
CANFINHOME,573,599,550.05,585.35,571,3216736,573,599,550.05,585.35,3216736,2.52,CANFINHOME,, ,,,,2.51,-27.18,25.34,0.23,1369875,347100,480675,112125,592800,4417283,1472250,359775,0.24,"764,466",23.77,
UBL,1475,1559,1469.55,1553.95,1473.45,1175823,1475,1559,1469.55,1553.95,1175823,5.35,UBL,, ,,,,5.46,238.52,16.32,0.14,1638700,267400,557900,79800,637700,347346,984200,292600,0.30,"237,779",20,
OFSS,4741.65,4745.95,4631.4,4648,4708.55,124401,4741.65,4745.95,4631.4,4648,124401,-1.1,OFSS,, ,,,,-1.29,-35.40,15.46,1.20,176250,27250,1250,1500,2750,192573,44250,13875,0.31,"58,839",47.30,
GUJGASLTD,725.95,729.3,702.75,706.15,720.1,1556898,725.95,729.3,702.75,706.15,1556898,-2.3,GUJGASLTD,, ,,,,-1.94,-9.88,14.43,0.46,2303750,332500,346250,160000,506250,1727498,1330000,632500,0.48,"628,465",40.37,Yes
SYNGENE,643.1,644.8,626,630,647,429124,643.1,644.8,626,630,429124,-1.77,SYNGENE,, ,,,,-2.63,-76.99,12.71,0.37,795600,101150,77350,28900,106250,1865150,486200,122400,0.25,"199,200",46,
POLYCAB,2086.05,2164,2030.35,2137.95,2073.55,939984,2086.05,2164,2030.35,2137.95,939984,3.41,POLYCAB,, ,,,,3.11,-34.91,11.63,0.33,495300,57600,44700,14700,59400,1444108,365700,89400,0.24,"148,163",15.76,Yes
IPCALAB,2598.4,2642.45,2491,2527,2590.05,274234,2598.4,2642.45,2491,2527,274234,-1.88,IPCALAB,, ,,,,-2.43,-69.44,10.93,0.12,135900,14850,11475,1350,12825,897311,86850,3600,0.04,"91,616",33.41,Yes
MPHASIS,2920.2,2930,2816.1,2832,2905.2,721085,2920.2,2930,2816.1,2832,721085,-2.28,MPHASIS,, ,,,,-2.52,-27.29,9.98,0.33,1461850,145925,88725,28925,117650,991789,429325,144625,0.34,"366,318",50.80,Yes
INDHOTEL,139.55,148.3,139.55,147.05,140.1,5019814,139.55,148.3,139.55,147.05,5019814,4.74,INDHOTEL,,BUY,,,,4.96,504.86,9.53,0.24,8143200,776100,1212900,288600,1501500,829920,2983500,1517100,0.51,"1,680,807",33.48,Yes
IDEA,6.05,6.35,6,6.15,6.05,278532142,6.05,6.35,6,6.15,278532142,0.82,IDEA,, ,,,,1.65,-6.82,8.15,0.39,440720000,35910000,14280000,5600000,19880000,298905204,226170000,121800000,0.54,"61,081,280",21.93,
EXIDEIND,163,171,162.8,169.95,161.5,14837295,163,171,162.8,169.95,14837295,5.46,EXIDEIND,, ,,,,5.23,181.14,7.85,0.17,28886400,2268000,543600,90000,633600,5277497,10584000,5068800,0.48,"4,997,460",33.68,Yes
PEL,2630,2699,2570.05,2593.75,2606.75,1335925,2630,2699,2570.05,2593.75,1335925,-0.49,PEL,, ,,,SELL,-0.50,31.08,7.62,0.27,3192475,243375,184800,50050,234850,1019155,841225,372075,0.44,"642,406",48.09,
AARTIIND,942.7,946.2,919,922.65,938,570829,942.7,946.2,919,922.65,570829,-1.65,AARTIIND,, ,,,SELL,-1.64,8.78,7.31,0.39,2732750,199750,134300,52700,187000,524749,793050,304300,0.38,"244,394",42.81,
INDIAMART,7886.9,7956.7,7655,7679.1,7825,109464,7886.9,7956.7,7655,7679.1,109464,-2.15,INDIAMART,, ,,,,-1.86,-65.68,7.20,0.66,109350,7875,11175,7425,18600,318931,88800,17400,0.20,"37,943",34.66,Yes
PIDILITIND,2290,2339,2283.1,2311.85,2279.1,1206729,2290,2339,2283.1,2311.85,1206729,1.38,PIDILITIND,, ,,,,1.44,87.32,7.07,0.17,2913000,206000,331500,56500,388000,644194,811000,292500,0.36,"501,819",41.59,Yes
VOLTAS,1009,1049,1004,1045,1000.75,4136191,1009,1049,1004,1045,4136191,4.94,VOLTAS,, ,,,,4.42,246.26,6.98,0.21,3405000,237500,408500,87500,496000,1194523,2153000,1244500,0.58,"1,471,209",36,
ASTRAL,2053.4,2160,2042,2107,2040,723180,2053.4,2160,2042,2107,723180,3.23,ASTRAL,, ,,,,3.28,96.51,6.95,0.06,427350,29700,38500,2200,40700,368007,111100,30800,0.28,"403,499",55.80,
SBILIFE,1189,1222.8,1183.9,1214.4,1191,1955177,1189,1222.8,1183.9,1214.4,1955177,1.87,SBILIFE,, ,,,,1.96,13.69,6.67,0.74,6777750,452250,425250,312750,738000,1719768,2430750,1065000,0.44,"1,066,062",54.53,
EICHERMOT,2680,2767,2662.05,2694,2674,1997385,2680,2767,2662.05,2694,1997385,0.55,EICHERMOT,, ,,,,0.75,-16.14,6.65,0.27,4251100,282800,238350,63350,301700,2381821,910000,474250,0.52,"737,710",36.93,
M&M,793.3,802.5,768.9,769.8,793.15,6031309,793.3,802.5,768.9,769.8,6031309,-2.96,M&M,, ,,,SELL,-2.94,81.42,6.30,0.32,12506900,787500,2179800,695800,2875600,3324467,6104000,2093700,0.34,"3,587,675",59.48,
KOTAKBANK,1753.75,1753.85,1738,1748,1751,7266354,1753.75,1753.85,1738,1748,7266354,-0.33,KOTAKBANK,, ,,,SELL,-0.17,61.74,5.84,0.54,17096400,999200,485200,259600,744800,4492609,4802000,3975200,0.83,"3,818,697",52.55,
DIXON,4160.4,4197.85,4132.5,4138,4161,219818,4160.4,4197.85,4132.5,4138,219818,-0.54,DIXON,, ,,,,-0.55,-8.96,5.71,0.91,194875,11125,4000,3625,7625,241465,114125,33625,0.29,"133,585",60.77,Yes
M&MFIN,159,167.3,158.95,161.95,160.05,13340564,159,167.3,158.95,161.95,13340564,1.12,M&MFIN,, ,,,,1.19,65.35,5.61,0.50,30820000,1728000,716000,356000,1072000,8068293,11172000,6972000,0.62,"3,747,258",28.09,
IBULHSGFIN,224.6,236.2,223.2,232.5,223.8,19309370,224.6,236.2,223.2,232.5,19309370,3.79,IBULHSGFIN,, ,,,,3.89,68.20,5.52,0.00,38567100,2129700,3047300,-3100,3044200,11480181,15565100,6643300,0.43,"2,485,758",12.87,
NMDC,154,154,150,152.4,154.05,13022242,154,154,150,152.4,13022242,-1.07,NMDC,,SELL,,,SELL,-1.07,2.42,5.39,0.69,88694600,4777100,1648200,1139000,2787200,12714721,25667700,18813600,0.73,"4,232,566",32.50,
